Hospital,Region,PostalCode,Locality,Lat,Lng,Type
Iman Kindergarten (Yishun),North,760934,"934, Yishun Central 1",1.425726,103.834418,Childcare
Yishun Community Hospital,North,768024,"2, Yishun Central 2",1.423730,103.835200,Hospital
Edelweiss Kindergarten Sembawang Presbyterian Church,North,768443,"10B, Jalan Jeruju",1.441317,103.823468,Childcare
Khoo Teck Puat Hospital,North,768828,"90, Yishun Central",1.424600,103.838200,Hospital
Darul Makmur Mosque Kindergarten,North,769099,"950, Yishun Avenue 2",1.436862,103.832160,Childcare
My Montessori Preschool @ Bullion,North,789100,"172, Lentor Loop",1.391354,103.834155,Childcare
Foochow Methodist Church Kindergarten,North-East,218577,"90, Race Course Road",1.309086,103.849353,Childcare
Elim Kindergarten,North-East,328182,"1079, Serangoon Road",1.323894,103.862076,Childcare
Ren Ci Community Hospital,North-East,329562,"71, Irrawaddy Rd",1.323020,103.843630,Hospital
Mount Elizabeth Novena Hospital,North-East,329563,"38, Irrawaddy Rd",1.322100,103.844200,Hospital
PCF Sparkletots Preschool @ Potong Pasir Blk 143 (DS),North-East,350143,"143, Potong Pasir Avenue 2",1.332189,103.864803,Childcare
Totsville Montessori Kindergarten,North-East,510720,"720, Pasir Ris Street 72",1.381769,103.918972,Childcare
PCF Sparkletots Preschool @ Paya Lebar Blk 23 (KN),North-East,530023,"23, Hougang Avenue 3",1.364398,103.889626,Childcare
PCF Sparkletots Preschool @ Paya Lebar Blk 125 (KN),North-East,530125,"125, Hougang Avenue 1",1.364398,103.883060,Childcare
Brainy Bunch International Montessori,North-East,530247,"247, Hougang Avenue 3",1.359128,103.889353,Childcare
PCF Sparkletots Preschool @ Hougang Blk 328 (DS),North-East,530328,"328, Hougang Avenue 5",1.368746,103.894263,Childcare
PCF Sparkletots Preschool @ Bedok Reservoir Punggol Blk 414 (DS),North-East,530414,"414, Hougang Avenue 10",1.388472,103.882346,Childcare
PCF Sparkletots Preschool @ Sengkang South Blk 452 (DS),North-East,530452,"452, Hougang Avenue 10",1.378620,103.894137,Childcare
PCF Sparkletots Preschool @ Sengkang South Blk 535 (DS),North-East,530535,"535, Hougang Street 52",1.376558,103.888001,Childcare
Al-Nasry @ Sengkang South,North-East,530552,"552, Hougang Street 51",1.378284,103.887317,Childcare
The Montessori Playroom Kindergarten,North-East,530806,"806, Hougang Central",1.371098,103.891956,Childcare
Jenius Kindergarten (Hougang),North-East,530915,"915, Hougang Street 91",1.377504,103.881197,Childcare
PCF Sparkletots Preschool @ Jalan Kayu Blk 987C (DS),North-East,532987,"987C, Buangkok Green",1.380031,103.876027,Childcare
Hanis Montessori Kindergarten (Kovan),North-East,534645,"777, Upper Serangoon Road",1.354778,103.876620,Childcare
Little Seed@St. Paul's Church Kindergarten,North-East,534682,"839, Upper Serangoon Road",1.358298,103.880184,Childcare
Living Sanctuary Kindergarten,North-East,538728,"2, Hougang Street 22",1.355923,103.889053,Childcare
Nativity Church Kindergarten,North-East,538791,"98, Hougang Avenue 8",1.374516,103.89576530,Childcare
PCF Sparkletots Preschool @ Punggol East Blk 103 (KN),North-East,540103,"103, Rivervale Walk",1.382449,103.899023,Childcare
PCF Sparkletots Preschool @ Punggol East Blk 143 (KN),North-East,540143,"143, Rivervale Drive",1.390138,103.903550,Childcare
PCF Sparkletots Preschool @ Sengkang Central Blk 206A (KN),North-East,541206,"206A, Compassvale Lane",1.386435,103.894664,Childcare
PCF Sparkletots Preschool @ Sengkang West Blk 330A (DS),North-East,541330,"330A, Anchorvale Street",1.396608,103.887779,Childcare
PCF Sparkletots Preschool @ Punggol East Blk 187B (KN),North-East,542187,"187B, Rivervale Drive",1.394350,103.903808,Childcare
PCF Sparkletots Preschool @ Sengkang Central Blk 277B (KN),North-East,542277,"277B, Compassvale Link",1.384204,103.892274,Childcare
PCF Sparkletots Preschool @ Sengkang Central Blk 292B (KN),North-East,542292,"292B, Compassvale Street",1.395418,103.896550,Childcare
Sengkang Community Hospital,North-East,544835,"1, Anchorvale Street",1.396470,103.891230,Hospital
Sengkang General Hospital,North-East,544886,"110, Sengkang E Way",1.395500,103.893400,Hospital
Sengkang Methodist Children Centre,North-East,545056,"31, Anchorvale Road",1.392229,103.884242,Childcare
Mahad Al-Nasry @ Sengkang kindergarten,North-East,546646,"415, Punggol Road",1.391832,103.898920,Childcare
St. Anne's Church Kindergarten,North-East,548593,"66, Sengkang East Way",1.391528,103.899607,Childcare
Catholic Kindergarten,North-East,549404,"15, Flower Road",1.359969,103.879541,Childcare
PCF Sparkletots Preschool @ Serangoon Blk 125 (KN),North-East,550125,"125, Serangoon North Avenue 1",1.366484,103.870127,Childcare
PCF Sparkletots Preschool @ Serangoon Blk 226 (KN),North-East,550226,"226, Serangoon Avenue 4",1.356871,103.868767,Childcare
PCF Sparkletots Preschool @ Jalan Kayu Blk 518 (DS),North-East,550518,"518, Serangoon North Avenue 4",1.375882,103.871850,Childcare
Al - Istiqamah Mosque Kindergarten,North-East,555876,"2, Serangoon North Avenue 2",1.369197,103.873313,Childcare
Bethesda (Bukit Arang) Kindergarten,North-East,556110,"114, Serangoon Avenue 3",1.349397,103.865206,Childcare
PCF Sparkletots Preschool @ Teck Ghee Blk 301 (DS),North-East,560301,"301, Ang Mo Kio Street 31",1.365834,103.854863,Childcare
PCF Sparkletots Preschool @ Cheng San-Seletar Blk 435 (KN),North-East,560435,"435, Ang Mo Kio Avenue 10",1.365833,103.787011,Childcare
PCF Sparkletots Preschool @ Teck Ghee Blk 466 (KN),North-East,560466,"466, Ang Mo Kio Avenue 10",1.365834,103.854863,Childcare
PCF Sparkletots Preschool @ Jalan Kayu Blk 556 (DS),North-East,560556,"556, Ang Mo Kio Avenue 10",1.382241,103.860005,Childcare
PCF Sparkletots Preschool @ Yio Chu Kang Blk 644 (KN),North-East,560644,"644, Ang Mo Kio Ave 4",1.379137,103.838773,Childcare
Ang Mo Kio Methodist Church Kindergarten,North-East,569383,"1, Ang Mo Kio Street 21",1.367176,103.833275,Childcare
Al - Muttaqin Mosque Kindergarten,North-East,569844,"5140, Ang Mo Kio Avenue 6",1.371735,103.837505,Childcare
Banyan Tree Education @ AMK PTE. LTD.,North-East,569880,"7030, Ang Mo Kio Ave 5",1.377618,103.874019,Childcare
Bethesda (Ang Mo Kio) Kindergarten,North-East,569898,"601, Ang Mo Kio Ave 4",1.374759,103.835168,Childcare
PCF Sparkletots Preschool @ Sengkang West Blk 416A (DS),North-East,791416,"416A, Fernvale Link",1.390557,103.877711,Childcare
Brain Buttons Kindergarten,North-East,805939,"357, Yio Chu Kang Road",1.389040,103.861904,Childcare
PCF Sparkletots Preschool @ Punggol West Blk 271A (KN),North-East,821271,"271A, Punggol Walk",1.403710,103.898276,Childcare
PCF Sparkletots Preschool @ Punggol North Blk 663A (DS),North-East,821663,"663A, Punggol Drive",1.401848,103.907520,Childcare
PCF Sparkletots Preschool @ Punggol West Blk 308B (DS),North-East,822308,"308B, Punggol Walk",1.403710,103.898276,Childcare
PCF Sparkletots Preschool @ Punggol North Blk 171C (KN),North-East,823171,"171C, Edgedale Plains",1.394762,103.910954,Childcare
PCF Sparkletots Preschool @ Punggol North Blk 105D (KN),North-East,824105,"105D, Edgefield Plains",1.396997,103.903380,Childcare
PCF Sparkletots Preschool @ Punggol North Blk 174D (KN),North-East,824174,"174D, Edgedale Plains",1.397229,103.907735,Childcare
Dayspring Kindergarten @ Marina Country Club,North-East,828670,"11, Northshore Drive",1.416066,103.896873,Childcare
White Lodge West Coast Pte Ltd,West,118141,"9, South Buona Vista Road",1.280059,103.784233,Childcare
